data_status,response_id,version,position,scenario,scenario_sector,data_signal,accountability,choice_key,over_reliance,accuracy,confidence,perceived_stakes,verification_intent,options_asked,options_generated,seconds_on_page,attn_shown,attn_correct,use_frequency,role,sector,experience,seniority,org_size,analytics_familiarity,dissent_route,follow_up,attn_pass,attn_total,mc_immediate_correct,mc_count_response,mc_count_correct,suspicion_pattern,suspicion_text,started,submitted,total_seconds,interview_mode,submitted_at,consent_quotes,consent_storage,consent_confidential,consent_date,country,iv_sector,job_title,level,years_experience,dashboard_frequency,people_responsible,stale_warning_shown,bi_training,age_band,qualification,Q1_text,Q2_text,Q3_text,Q4_text,Q5_text,Q6_text,Q7_text,Q8_text,Q9_text,Q10_prompt,Q10_text,Q11_text,Q12_text,R1,R2,R3,R4,R5,R6,R7,R8,blame_asymmetry_R5_minus_R4,behavioural_profile,fault_detected,objection_raised,objection_recorded,objection_answered,outcome,codes,iv_total_seconds
COLLECTED,S001,3,1,kiln,Industrial,visible,auditable,correct,0,1,5,7,1,0,,168,0,,Daily,Manager with budget or people responsibility,Banking and financial services,10 to 14 years,Manager,"1,000 to 4,999",4,1,0,2,2,0,do not know,0,1,How people behave when the system recommendation and the field feedback do not match.,2026-07-27T07:38:39.000Z,2026-07-27T08:08:00.000Z,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S001,3,2,freight,Logistics,hidden,auditable,partial,0,0,5,4,1,1,1,152,0,,Daily,Manager with budget or people responsibility,Banking and financial services,10 to 14 years,Manager,"1,000 to 4,999",4,1,0,2,2,0,do not know,0,1,How people behave when the system recommendation and the field feedback do not match.,2026-07-27T07:38:39.000Z,2026-07-27T08:08:00.000Z,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S001,3,3,kovai,Retail,visible,own,partial,0,0,5,5,0,0,,90,1,1,Daily,Manager with budget or people responsibility,Banking and financial services,10 to 14 years,Manager,"1,000 to 4,999",4,1,0,2,2,0,do not know,0,1,How people behave when the system recommendation and the field feedback do not match.,2026-07-27T07:38:39.000Z,2026-07-27T08:08:00.000Z,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S001,3,4,fraud,Financial services,hidden,own,dashboard,1,0,5,6,0,0,,134,0,,Daily,Manager with budget or people responsibility,Banking and financial services,10 to 14 years,Manager,"1,000 to 4,999",4,1,0,2,2,0,do not know,0,1,How people behave when the system recommendation and the field feedback do not match.,2026-07-27T07:38:39.000Z,2026-07-27T08:08:00.000Z,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S001,3,5,supplier,Manufacturing,visible,auditable,correct,0,1,7,7,1,1,0,78,0,,Daily,Manager with budget or people responsibility,Banking and financial services,10 to 14 years,Manager,"1,000 to 4,999",4,1,0,2,2,0,do not know,0,1,How people behave when the system recommendation and the field feedback do not match.,2026-07-27T07:38:39.000Z,2026-07-27T08:08:00.000Z,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S001,3,6,ward,Healthcare,visible,own,correct,0,1,5,6,1,1,4,511,1,1,Daily,Manager with budget or people responsibility,Banking and financial services,10 to 14 years,Manager,"1,000 to 4,999",4,1,0,2,2,0,do not know,0,1,How people behave when the system recommendation and the field feedback do not match.,2026-07-27T07:38:39.000Z,2026-07-27T08:08:00.000Z,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S001,3,7,pricing,Consumer goods,hidden,auditable,dashboard,1,0,7,5,0,0,,101,0,,Daily,Manager with budget or people responsibility,Banking and financial services,10 to 14 years,Manager,"1,000 to 4,999",4,1,0,2,2,0,do not know,0,1,How people behave when the system recommendation and the field feedback do not match.,2026-07-27T07:38:39.000Z,2026-07-27T08:08:00.000Z,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S001,3,8,retention,Technology,hidden,own,partial,0,0,4,5,0,0,,49,0,,Daily,Manager with budget or people responsibility,Banking and financial services,10 to 14 years,Manager,"1,000 to 4,999",4,1,0,2,2,0,do not know,0,1,How people behave when the system recommendation and the field feedback do not match.,2026-07-27T07:38:39.000Z,2026-07-27T08:08:00.000Z,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S002,2,1,fraud,Financial services,hidden,auditable,partial,0,0,6,6,0,1,1,130,0,,Several times a week,Analyst or specialist supporting decisions,Consulting and professional services,2 to 4 years,Team lead or assistant manager,"1,000 to 4,999",2,2,1,2,2,1,3,0,1,Cannot say.,2026-07-27T09:26:30.000Z,2026-07-27T09:57:05.000Z,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S002,2,2,kovai,Retail,visible,auditable,correct,0,1,6,6,1,1,0,114,0,,Several times a week,Analyst or specialist supporting decisions,Consulting and professional services,2 to 4 years,Team lead or assistant manager,"1,000 to 4,999",2,2,1,2,2,1,3,0,1,Cannot say.,2026-07-27T09:26:30.000Z,2026-07-27T09:57:05.000Z,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S002,2,3,retention,Technology,hidden,auditable,correct,0,1,7,7,1,0,,615,1,1,Several times a week,Analyst or specialist supporting decisions,Consulting and professional services,2 to 4 years,Team lead or assistant manager,"1,000 to 4,999",2,2,1,2,2,1,3,0,1,Cannot say.,2026-07-27T09:26:30.000Z,2026-07-27T09:57:05.000Z,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S002,2,4,supplier,Manufacturing,hidden,own,correct,0,1,6,6,1,0,,113,0,,Several times a week,Analyst or specialist supporting decisions,Consulting and professional services,2 to 4 years,Team lead or assistant manager,"1,000 to 4,999",2,2,1,2,2,1,3,0,1,Cannot say.,2026-07-27T09:26:30.000Z,2026-07-27T09:57:05.000Z,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
